pmid,source_title,linked_ingredients,present_in_full_collection,present_in_selected_149,reviewer_verdict,exclusion_stage,exclusion_reason,final_bundle_coverage_for_ingredient,recommendation
10971324,Nicotinamide increases biosynthesis of ceramides as well as other stratum corneum lipids to improve the epidermal permeability barrier.,Niacinamide,True,False,NOT_REVIEWED,automatic_candidate_screening,"Cholesterol: non_clinical_study_design; Sphingolipids: non_clinical_study_design | NOTE: title이 'Nicotinamide increases biosynthesis of ceramides...'로 실제로는 Niacinamide 관련 논문으로 보인다. pipeline은 이 PMID를 Cholesterol/Sphingolipids 질의로만 수집했고 Niacinamide 질의 결과에는 없어 Niacinamide 기준으로는 한 번도 QA 검토된 적이 없다 — canonical link 자체가 틀렸다는 뜻은 아니고, Niacinamide 근거로서 검토가 안 됐다는 뜻",3,RE_REVIEW
11702613,"A randomized, placebo-controlled trial of topical retinol in the treatment of cellulite.",Retinol,True,False,NOT_REVIEWED,automatic_candidate_screening,Retinol: over_budget,3,DEFER
17613133,"Final report on the safety assessment of Glycyrrhetinic Acid, Potassium Glycyrrhetinate, Disodium Succinoyl Glycyrrhetinate, Glyceryl Glycyrrhetinate, Glycyrrhetinyl Stearate, Stearyl Glycyrrhetinate, Glycyrrhizic Acid, Ammonium Glycyrrhizate, Dipotassium Glycyrrhizate, Disodium Glycyrrhizate, Trisodium Glycyrrhizate, Methyl Glycyrrhizate, and Potassium Glycyrrhizinate.",Dipotassium Glycyrrhizate,True,False,NOT_REVIEWED,automatic_candidate_screening,"Ammonium Glycyrrhizate: route_unclear; Dipotassium Glycyrrhizate: route_unclear | NOTE: title이 CIR(Cosmetic Ingredient Review) 공식 safety assessment 보고서 제목과 동일하다 (PubMed에 색인된 CIR 보고서 항목일 가능성 - 1차 임상/연구 논문이 아닐 수 있음, 확인 필요)",0,RE_REVIEW
21822427,(pubmed_full.jsonl에 없음 - 출처 확인 필요),Niacinamide,False,False,NOT_REVIEWED,not_in_pipeline,pubmed_full.jsonl/pubmed_smoke50.jsonl 어디에도 없음 - canonical DB에 이 PMID가 어떻게 적재됐는지 출처 불명,3,RE_REVIEW
21982351,Skin moisturizing effects of panthenol-based formulations.,Panthenol,True,False,NOT_REVIEWED,automatic_candidate_screening,Panthenol: route_unclear,2,RE_REVIEW
27324942,Physiochemical properties and application of hyaluronic acid: a systematic review.,Hyaluronic Acid,True,True,UNCERTAIN,human_qa_review,Hyaluronic Acid: 다양한 의학적 HA 적용을 포괄한 systematic review라 topical skincare 근거만 분리됐는지 불명확,1,RE_REVIEW
29947134,"Prospective, randomized, double-blind assessment of topical bakuchiol and retinol for facial photoageing.",Retinol,True,False,NOT_REVIEWED,automatic_candidate_screening,Bakuchiol: over_budget; Retinol: over_budget,3,DEFER
34348350,A Lipid Mixture Enriched by Ceramide NP with Fatty Acids of Diverse Chain Lengths Contributes to Restore the Skin Barrier Function Impaired by Topical Corticosteroid.,Ceramide NP,True,False,NOT_REVIEWED,automatic_candidate_screening,Ceramide NP: non_clinical_study_design,2,RE_REVIEW
38618759,Supramolecular salicylic acid combined with niacinamide in chloasma: a randomized controlled trial.,Niacinamide,True,False,NOT_REVIEWED,automatic_candidate_screening,Niacinamide: over_budget,3,DEFER
38843906,Tranexamic acid as a therapeutic option for melasma management: meta-analysis and systematic review of randomized controlled trials.,Tranexamic Acid,True,False,NOT_REVIEWED,automatic_candidate_screening,Tranexamic Acid: route_unclear,3,RE_REVIEW
40177799,Efficacy and Safety of Topical Compound Heparin Sodium Allantoin Gel (Main Components: Onion Extract Quercetin) for the Treatment of Rosacea.,Allantoin,True,True,UNCERTAIN,human_qa_review,Allantoin: compound heparin sodium allantoin gel 연구라 Allantoin 단독 효과로 분리하기 어려움; Quercetin: compound heparin/allantoin/onion extract 제형에서 Quercetin 단독 효과 분리가 어려움,2,RE_REVIEW
40682399,"The Effectiveness and Safety of a Skin Care Product With Centella asiatica Leaf Extract, Ceramide NP, and Panthenol in Subjects With Sensitive Skin: A Prospective, Observational Study.",Ceramide NP,True,False,NOT_REVIEWED,automatic_candidate_screening,Ceramide NP: non_clinical_study_design; Panthenol: non_clinical_study_design,2,RE_REVIEW
40826371,Microneedling-assisted delivery of metformin versus tranexamic acid in treating melasma: a randomized controlled study.,Tranexamic Acid,True,False,NOT_REVIEWED,automatic_candidate_screening,Tranexamic Acid: comparator_only,3,RE_REVIEW
