ingredient,report_title,attachment_id,page,section,matched_text,context,scope_verified,note
Retinol,Retinol and Retinyl Palmitate,78339067-953f-de05-9d46-508a63ceca4c,40,Conclusion,retinol,"In a 1987 safety assessment of retinyl palmitate and retinol, the Cosmetic Ingredient Review Expert Panel stated that these ingredients are safe as cosmetic ingredients in the present prac- tices of u",True,2017 re-review summary; full CIR safety assessment로 취급하지 않음
Ascorbic Acid,"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",d0ca1f11-8e74-ec11-8943-0022482f06a6,44,CLINICAL ASSESSMENT OF SAFETY,L-Ascorbic Acid,"r routine hospital autopsies, so no comparisons were possible with the other two groups. Hellman and Burns (1958) administered radiolabeled L-Ascorbic Acid (23.9 to 37.2 μCi) intravenously to three pa- tients. During a 10-day period an average of 42% of the admin- istered dose was found in the",True,EvidenceDocument 1건 공유; ingredient linkage는 chunk exact mention 기준으로 분리
Sodium Ascorbyl Phosphate,"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",d0ca1f11-8e74-ec11-8943-0022482f06a6,54,CONCLUSION,Sodium Ascorbyl Phosphate,"Expert Panel concludes that L-Ascorbic Acid, Calcium Ascor- bate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate are safe as used in cosmetic products.",True,EvidenceDocument 1건 공유; ingredient linkage는 chunk exact mention 기준으로 분리
Salicylic Acid,Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,f8f3e083-2ca8-b5b4-b338-aa3ca6da8825,42,Clinical Studies,Salicylic Acid,ase Reports rabbits. The treated eyes were normal on day 7 of observation. Methyl Salicylate. A man became acutely ill (within less than an Salicylic Acid. The Draize test was used to evaluate the ocular hour) after using an herbal skin cream containing Methyl irritation potential of Salicylic,True,2025 amended report만 canonical 신규 근거로 사용
Adenosine,Safety Assessment of Adenosine as Used in Cosmetics,cd3b62ad-1279-3043-bf9f-58ee259b08ba,10,Clinical Studies,Adenosine,"2.5 after Adenosine Triphosphate and Adenosine Phosphate, Effects of Inhalation respectively. Eighty percent of subjects coughed after the Adenosine Triphospha",True,REFERENCES 이전 selected body chunk의 exact ingredient mention 확인
Capryloyl Salicylic Acid,Safety Assessment of Capryloyl Salicylic Acid as Used in Cosmetics,995efb2f-f539-86e3-8575-19bea03f915e,13,Clinical Studies,Capryloyl Salicylic Acid,"n day 7; these effects were A female patient who used day and night creams containing resolved by day 14. Circumcorneal vascularization and Capryloyl Salicylic Acid presented with dermatitis of the face, convoluted eyelids were also noted in this animal, and the which was first observed 3 months earlier",True,2024 standalone reassessment; 2003 historical (ester) 분류를 사용하지 않음
Hydrolyzed Hyaluronic Acid,Safety Assessment of Hyaluronates as Used in Cosmetics,dd27a62b-d988-9d8d-aaff-51a43716120d,12,DISCUSSION,Hydrolyzed Hyaluronic Acid,Sodium Acetylated Hyaluronate and Hydrolyzed Hyaluronic Acid were included on the 2022 Priority List due to high reported frequencies of use in FDA VC,True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Sodium Acetylated Hyaluronate,Safety Assessment of Hyaluronates as Used in Cosmetics,dd27a62b-d988-9d8d-aaff-51a43716120d,12,DISCUSSION,Sodium Acetylated Hyaluronate,Sodium Acetylated Hyaluronate and Hydrolyzed Hyaluronic Acid were included on the 2022 Priority List due to high report,True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Hydrolyzed Sodium Hyaluronate,Safety Assessment of Hyaluronates as Used in Cosmetics,dd27a62b-d988-9d8d-aaff-51a43716120d,12,DISCUSSION,Hydrolyzed Sodium Hyaluronate,"assessment. Also included in this ingredient group are Hydrolyzed Calcium Hyaluronate and Hydrolyzed Sodium Hyaluronate. Furthermore, the Panel reviewed the available data, and concluded that all 7 hyaluronate",True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Potassium Hyaluronate,Safety Assessment of Hyaluronates as Used in Cosmetics,dd27a62b-d988-9d8d-aaff-51a43716120d,12,DISCUSSION,Potassium Hyaluronate,"he Panel published a final report on 3 structurally-similar ingredients (Hyaluronic Acid, Potassium Hyaluronate, and Sodium Hyaluronate) and concluded that these ingredients were safe as used in cosmet",True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Ceramide AP,Safety Assessment of Ceramides as Used in Cosmetics,7a7dbaa1-8e74-ec11-8943-0022482f06a6,8,Conclusion,Ceramide AP,Ceramide 4* [retired] Ceramide 1A [retired] Ceramide 6 II [retired] Ceramide AP Ceramide EOP Ceramide EOS Ceramide NP Ceramide NG* Ceramide NS Ceramide NS dilaurate* Cap,True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Ceramide EOP,Safety Assessment of Ceramides as Used in Cosmetics,7a7dbaa1-8e74-ec11-8943-0022482f06a6,8,Conclusion,Ceramide EOP,Ceramide 4* [retired] Ceramide 1A [retired] Ceramide 6 II [retired] Ceramide AP Ceramide EOP Ceramide EOS Ceramide NP Ceramide NG* Ceramide NS Ceramide NS dilaurate* Caprooyl Phytosp,True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Tocopheryl Acetate,Safety Assessment of Tocopherols and Tocotrienols as Used in Cosmetics,297dbaa1-8e74-ec11-8943-0022482f06a6,31,Discussion,tocopheryl acetate," and sensitization data that are available since the 2002 review was issued indicate that tocopheryl acetate is not an irritant or a sensitizer, and tocopheryl phosphate is not a sensitizer. Additio",True,"기존 CIR document 재사용(reuse); title/family 상속 아님, chunk 본문 exact mention 확인"
Phytosphingosine,Safety Assessment of Ceramides as Used in Cosmetics,7a7dbaa1-8e74-ec11-8943-0022482f06a6,8,Conclusion,,"Caprooyl Phytosphingosine / Hydroxylauroyl Phytosphingosine* / Hydroxycapryloyl Phytosphingosine* / Hydroxycaproyl Phytosphingosine* 만 존재, standalone Phytosphingosine 표기 없음",False,reuse 후보 없음: chunk 본문에 Phytosphingosine 단독 표기가 없고 전부 다른 유도체 화합물명(Caprooyl/Hydroxylauroyl/Hydroxycapryloyl/Hydroxycaproyl Phytosphingosine)뿐이라 link 생성하지 않음
