source_type,source_id,key,title,in_bundle,in_canonical,action,note
pubmed_abstract,PMID:10021493,10021493,In vivo human skin permeability enhancement by oleic acid: a laser Doppler velocimetry study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:10522500,10522500,Use of topical ascorbic acid and its effects on photodamaged skin topography.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:10965426,10965426,Effect of topically applied dexpanthenol on epidermal barrier function and stratum corneum hydration. Results of a human in vivo study.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:12190621,12190621,Effect of a lipid-rich emollient containing ceramide 3 in experimentally induced skin barrier dysfunction.,True,True,REUSE,canonical document와 title/doi/url 동일
pubmed_abstract,PMID:12562345,12562345,Clinical trial of bleaching treatment with 10% all-trans retinol gel.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:12823436,12823436,"Topical ascorbic acid on photoaged skin. Clinical, topographical and ultrastructural evaluation: double-blind study vs. placebo.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:1303072,1303072,A comparative study of gluconolactone versus benzoyl peroxide in the treatment of acne.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:14641355,14641355,"Efficacy of dexpanthenol in skin protection against irritation: a double-blind, placebo-controlled study.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:15022655,15022655,"Topical application of natural honey, beeswax and olive oil mixture for atopic dermatitis or psoriasis: partially controlled, single-blinded study.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:15304189,15304189,A double-blind randomized trial of 5% ascorbic acid vs. 4% hydroquinone in melasma.,True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:15689218,15689218,"Bathing in a magnesium-rich Dead Sea salt solution improves skin barrier function, enhances skin hydration, and reduces inflammation in atopic dry skin.",True,False,INSERT,canonical에 없는 신규 PubMed document
pubmed_abstract,PMID:16029679,16029679,Niacinamide: A B vitamin that improves aging facial skin appearance.,True,True,REUSE,canonical document와 title/doi/url 동일
